Name,Wait Time,Delivery Fee,Link,Delivery Address,Geoid
Philly's Best (Jingletown),50–60 min,6.99,https://postmates.com/store/phillys-best-jingletown/1KLs4MxmVZCQetIxNTprTQ,2524 McGee Ave Berkeley CA,60014234001
Burger Latino (5333 Adeline St),35–45 min,3.99,https://postmates.com/store/burger-latino-5333-adeline-st/DutD7hRLUJKXSAJUksYlSQ,2524 McGee Ave Berkeley CA,60014234001
"Philly Fresh Cheesesteaks (5333 Adeline St ,)",35–45 min,3.99,https://postmates.com/store/philly-fresh-cheesesteaks-5333-adeline-st/G8cVN2B6XECblewlDZHmMg,2524 McGee Ave Berkeley CA,60014234001
Dirty Burger (Oakland),55–65 min,6.99,https://postmates.com/store/dirty-burger-oakland/ysCyucfnU3mFD81lNrV4Bw,2524 McGee Ave Berkeley CA,60014234001
Toasty's Breakfast Burritos (Oakland),60–70 min,6.99,https://postmates.com/store/toastys-breakfast-burritos-oakland/YOWaRzZbUMSMGnPj8o9fSg,2524 McGee Ave Berkeley CA,60014234001
LIL BURMA (2353 E 12th St),55–65 min,6.99,https://postmates.com/store/lil-burma-2353-e-12th-st/ABiiKYxkXqyIkHo6sLBOqA,2524 McGee Ave Berkeley CA,60014234001
Pressed Acai Bowls - College Ave,30–40 min,3.99,https://postmates.com/store/pressed-acai-bowls-college-ave/HYM6WUmGQpeZXGkSZpLpxg,2524 McGee Ave Berkeley CA,60014234001
Freddie Parker’s Pasta & Salad Shop - Oakland -Adeline,35–45 min,3.99,https://postmates.com/store/freddie-parkers-pasta-%26-salad-shop-oakland-adeline/ZIyTsjgRUh-ipaT4dxvwlA,2524 McGee Ave Berkeley CA,60014234001
Nikko Sushi,30–40 min,0.99,https://postmates.com/store/nikko-sushi/hBJ6A1XoTjC0yWqoqtXodA,2524 McGee Ave Berkeley CA,60014234001
Amici's East Coast Pizzeria - Oakland -Adeline,35–45 min,3.99,https://postmates.com/store/amicis-east-coast-pizzeria-oakland-adeline/2emmBOUbVB6Z0YZP_rJ1mg,2524 McGee Ave Berkeley CA,60014234001
Tuk Tuk Thai,25–35 min,1.99,https://postmates.com/store/tuk-tuk-thai/AzxeZtG_S9CA8LpOTtfDuw,2524 McGee Ave Berkeley CA,60014234001
Gluten Free Pizza Garden- Oakland- Adeline,35–45 min,3.99,https://postmates.com/store/gluten-free-pizza-garden-oakland-adeline/NpBj6oZcXayC_so68cdfZw,2524 McGee Ave Berkeley CA,60014234001
Holly's Mandarin,45–55 min,2.99,https://postmates.com/store/hollys-mandarin/8OyAf4vqThCs-GEvUcdN3g,2524 McGee Ave Berkeley CA,60014234001
Little Gem Belgian Waffles,30–40 min,3.99,https://postmates.com/store/little-gem-belgian-waffles/NudH10inQZ2Lq4Bif6GEEw,2524 McGee Ave Berkeley CA,60014234001
Tender Greens (2071 University Ave),35–45 min,1.99,https://postmates.com/store/tender-greens-2071-university-ave/P-jHqO02RuG9N2eoMiCcgQ,2524 McGee Ave Berkeley CA,60014234001
Mount Everest Restaurant,35–45 min,1.99,https://postmates.com/store/mount-everest-restaurant/b_UsfPQRSByM-C95G8Ihfg,2524 McGee Ave Berkeley CA,60014234001
La Estrella Food Truck,35–45 min,5.99,https://postmates.com/store/la-estrella-food-truck/1S1RJ9zXQC23uwBxwtXR3A,2524 McGee Ave Berkeley CA,60014234001
Ajanta Restaurant,30–40 min,3.99,https://postmates.com/store/ajanta-restaurant/QZTtHy57TpGzS6mA7AbeYA,2524 McGee Ave Berkeley CA,60014234001
Bobby G's Pizzeria,35–45 min,1.99,https://postmates.com/store/bobby-gs-pizzeria/qPp8gQqMRgir6Dcvs2u3Pw,2524 McGee Ave Berkeley CA,60014234001
Rotten City Pizza,35–45 min,1.99,https://postmates.com/store/rotten-city-pizza/vNXgvAmDRG6P0YQ8dpVFlw,2524 McGee Ave Berkeley CA,60014234001
Shake Shack (1954 Telegraph Avenue),35–45 min,5.99,https://postmates.com/store/shake-shack-1954-telegraph-avenue/W7fSKEGQQfyE1wOrUGiv_w,2524 McGee Ave Berkeley CA,60014234001
Pho K & K,25–35 min,2.99,https://postmates.com/store/pho-k-%26-k/C7mFcjiQS7u6u_UbugTz4w,2524 McGee Ave Berkeley CA,60014234001
"The Halal Guys -Berkeley, CA",25–35 min,2.99,https://postmates.com/store/the-halal-guys-berkeley-ca/yuUmh6wbSi2yEMlduHIXoQ,2524 McGee Ave Berkeley CA,60014234001
Thai Basil Cuisine,35–45 min,2.99,https://postmates.com/store/thai-basil-cuisine/XgcWB_3MQo-AFGxIRb-gvA,2524 McGee Ave Berkeley CA,60014234001
Bonchon Chicken (2050 Berkeley Way),30–40 min,0.99,https://postmates.com/store/bonchon-chicken-2050-berkeley-way/k6ctofn3T1WEXPc2J8i0Kg,2524 McGee Ave Berkeley CA,60014234001
The Italian Homemade Company (Berkeley),30–40 min,1.99,https://postmates.com/store/the-italian-homemade-company-berkeley/gyYpWxeiSuGugUR3SAj_tg,2524 McGee Ave Berkeley CA,60014234001
Fenton's Creamery & Restaurant (Piedmont),45–55 min,3.99,https://postmates.com/store/fentons-creamery-%26-restaurant-piedmont/_zBdYK17ROGrv4z8leS6xw,2524 McGee Ave Berkeley CA,60014234001
Zachary's Chicago Pizza - Berkeley,50–60 min,0.99,https://postmates.com/store/zacharys-chicago-pizza-berkeley/X04dr6KvRkKuiY6cyAsMuQ,2524 McGee Ave Berkeley CA,60014234001
Chipotle Mexican Grill (2225 Shattuck Ave),30–40 min,2.99,https://postmates.com/store/chipotle-mexican-grill-2225-shattuck-ave/Hwc2AdLTSImAMYOqql2eCA,2524 McGee Ave Berkeley CA,60014234001
Taco Bell (2528 Durant Ave),30–40 min,2.99,https://postmates.com/store/taco-bell-2528-durant-ave/vCjAgSTmTNCp_iyO_eQ5_Q,2524 McGee Ave Berkeley CA,60014234001
Eureka! (Berkeley),30–40 min,0.99,https://postmates.com/store/eureka!-berkeley/3y8qrlQITfGunTXURT3TxQ,2524 McGee Ave Berkeley CA,60014234001
Homeroom,25–35 min,2.99,https://postmates.com/store/homeroom/Vq7wvGuhQ925AT7MyT7KOA,2524 McGee Ave Berkeley CA,60014234001
Sushi Go Go - Berkeley,35–45 min,2.99,https://postmates.com/store/sushi-go-go-berkeley/KtxJEx0WRgaq_FjrREnjnA,2524 McGee Ave Berkeley CA,60014234001
Yi Fang Taiwan Fruit Tea,25–35 min,2.99,https://postmates.com/store/yi-fang-taiwan-fruit-tea/Hc_S-pE-QWGOOR5KuKZ53w,2524 McGee Ave Berkeley CA,60014234001
Kokolo Donburi,25–35 min,0.99,https://postmates.com/store/kokolo-donburi/r5_SZUx6Q7mgrrScHyFxLA,2524 McGee Ave Berkeley CA,60014234001
McDonald's® (1198 San Pablo),20–30 min,4.99,https://postmates.com/store/mcdonalds-1198-san-pablo/tP8pQXuESrC4DI6BoV25uw,2524 McGee Ave Berkeley CA,60014234001
Blaze Pizza (Berkeley),40–50 min,2.99,https://postmates.com/store/blaze-pizza-berkeley/C7jPZ-svTWWOxvE3l_SdAw,2524 McGee Ave Berkeley CA,60014234001
Wendy's (5211 Broadway),40–50 min,3.99,https://postmates.com/store/wendys-5211-broadway/16E14EGDQa-Xt1M_8ISttw,2524 McGee Ave Berkeley CA,60014234001
Popeyes (1775 San Pablo Ave),25–35 min,3.99,https://postmates.com/store/popeyes-1775-san-pablo-ave/EVK2IorBT1eWryHgH88GJg,2524 McGee Ave Berkeley CA,60014234001
Jack in the Box (2197 San Pablo Ave),25–35 min,2.99,https://postmates.com/store/jack-in-the-box-2197-san-pablo-ave/zKunsim5Q7a6fiXl2-IBPg,2524 McGee Ave Berkeley CA,60014234001
Subway (1105 University Ave),20–30 min,2.99,https://postmates.com/store/subway-1105-university-ave/0vk4K2CMRrKEL7fzGWLo3w,2524 McGee Ave Berkeley CA,60014234001
Le Pho,20–30 min,1.99,https://postmates.com/store/le-pho/84DSCDmUSWWAOdsv5ci0qQ,2524 McGee Ave Berkeley CA,60014234001
Tai San Restaurant,20–30 min,2.99,https://postmates.com/store/tai-san-restaurant/GDu3f9e0QXypoY_rW93YOg,2524 McGee Ave Berkeley CA,60014234001
Krispy Krunchy Chicken (2237 Shattuck Ave),20–30 min,2.99,https://postmates.com/store/krispy-krunchy-chicken-2237-shattuck-ave/eemz_LuSQ1aZG9wGJ29krw,2524 McGee Ave Berkeley CA,60014234001
Ashby Super Market,20–30 min,2.99,https://postmates.com/store/ashby-super-market/qIyzNeijS0-MtHtuqDqGxg,2524 McGee Ave Berkeley CA,60014234001
