County Cod,State Code,Census Tra,Geoid,Holc Grade,Holc Id,Id,Map Id,Msamd,Municipali,Name,Polygon Id,St Name,State,Year,Geometry,Holc Area,Holc Prop,Sheets,Tract Prop
1,6,421200,6001421200,B,B5,17,17,36084,,,6668,Oakland,CA,2019,Polygon,0.427332834,0.024296,1,0.019835825
1,6,402500,6001402500,D,D8,17,17,36084,,,6680,Oakland,CA,2019,Polygon,1.677309005,0.007479854,1,0.088914381
1,6,423602,6001423602,B,B8,17,17,36084,,,6681,Oakland,CA,2019,Polygon,0.464798786,0.1188328,1,0.35481824
1,6,400400,6001400400,B,B8,17,17,36084,,,6681,Oakland,CA,2019,Polygon,0.464798786,0.000154034,1,0.000263513
1,6,421200,6001421200,B,B1,17,17,36084,,,6659,Oakland,CA,2019,Polygon,0.097637388,0.003732287,1,0.00069621
1,6,421300,6001421300,B,B1,17,17,36084,,,6659,Oakland,CA,2019,Polygon,0.097637388,0.993030571,1,0.226919942
1,6,420600,6001420600,B,B6,17,17,36084,,,6661,Oakland,CA,2019,Polygon,0.032875577,3.91E-07,1,4.22E-08
1,6,424001,6001424001,D,D7,17,17,36084,,,6679,Oakland,CA,2019,Polygon,1.001768438,7.38E-05,1,0.000374892
1,6,421500,6001421500,D,D1,17,17,36084,,,6664,Oakland,CA,2019,Polygon,0.087068132,0.899463412,1,0.127224688
1,6,422200,6001422200,C,C4,17,17,36084,,,6669,Oakland,CA,2019,Polygon,0.25427955,0.000374719,1,0.0003657
1,6,422400,6001422400,C,C4,17,17,36084,,,6669,Oakland,CA,2019,Polygon,0.25427955,0.289022192,1,0.400248364
1,6,421700,6001421700,C,C4,17,17,36084,,,6669,Oakland,CA,2019,Polygon,0.25427955,0.191727202,1,0.220047619
1,6,425102,6001425102,D,D3,17,17,36084,,,6672,Oakland,CA,2019,Polygon,1.38031327,0.000709496,1,0.003486108
1,6,400800,6001400800,D,D6,17,17,36084,,,6674,Oakland,CA,2019,Polygon,0.613439857,0.001321984,1,0.00302113
1,6,400800,6001400800,D,D4,17,17,36084,,,6675,Oakland,CA,2019,MultiPolygon,0.873331116,0.008949827,1,0.029118219
1,6,424001,6001424001,C,C7,17,17,36084,,,6676,Oakland,CA,2019,Polygon,0.508972394,0.000496039,1,0.001280129
1,6,400700,6001400700,C,C8,17,17,36084,,,6678,Oakland,CA,2019,Polygon,0.095343002,0.005392552,1,0.001512338
1,6,425104,6001425104,D,D8,17,17,36084,,,6680,Oakland,CA,2019,Polygon,1.677309005,0.00103848,1,0.004193009
1,6,402400,6001402400,D,D8,17,17,36084,,,6680,Oakland,CA,2019,Polygon,1.677309005,0.010365696,1,0.133592626
1,6,423700,6001423700,B,B8,17,17,36084,,,6681,Oakland,CA,2019,MultiPolygon,0.464798786,0.217964348,1,0.352652591
1,6,404300,6001404300,C,C16,17,17,36084,,,6683,Oakland,CA,2019,Polygon,0.664114926,0.224662762,1,0.208201793
1,6,404200,6001404200,C,C16,17,17,36084,,,6683,Oakland,CA,2019,Polygon,0.664114926,0.000670277,1,0.000422482
1,6,404800,6001404800,A,A,17,17,36084,,,6690,Oakland,CA,2019,Polygon,2.691419229,0.000294536,0,0.003267214
1,6,426100,6001426100,A,A7,17,17,36084,,,6692,Oakland,CA,2019,Polygon,0.596799043,0.87287149,1,0.451064261
1,6,406700,6001406700,B,B26,17,17,36084,,,6695,Oakland,CA,2019,Polygon,0.091567316,0.643891039,1,0.090694562
1,6,403900,6001403900,B,B18,17,17,36084,,,6704,Oakland,CA,2019,Polygon,0.167192079,0.208676729,1,0.182431027
1,6,405500,6001405500,B,B20,17,17,36084,,,6705,Oakland,CA,2019,MultiPolygon,0.136569375,0.002036336,1,0.001749436
1,6,405200,6001405200,B,B21,17,17,36084,,,6709,Oakland,CA,2019,Polygon,0.274396067,0.038274547,1,0.031844342
1,6,403800,6001403800,B,B21,17,17,36084,,,6709,Oakland,CA,2019,Polygon,0.274396067,0.00026813,1,0.000290311
1,6,426100,6001426100,B,B21,17,17,36084,,,6709,Oakland,CA,2019,Polygon,0.274396067,0.017059748,1,0.004053316
1,6,405302,6001405302,C,C17,17,17,36084,,,6711,Oakland,CA,2019,Polygon,0.17999977,0.03183979,1,0.07335718
1,6,405000,6001405000,C,C15,17,17,36084,,,6712,Oakland,CA,2019,Polygon,0.274434295,0.018634087,1,0.01632789
1,6,407800,6001407800,C,C23,17,17,36084,,,6724,Oakland,CA,2019,Polygon,0.733515916,0.077780591,1,0.119691161
1,6,408200,6001408200,C,C25,17,17,36084,,,6723,Oakland,CA,2019,Polygon,1.266125372,0.000142906,1,0.000519684
1,6,406800,6001406800,C,C25,17,17,36084,,,6723,Oakland,CA,2019,MultiPolygon,1.266125372,0.068724753,1,0.246969268
1,6,408700,6001408700,B,B31,17,17,36084,,,6746,Oakland,CA,2019,Polygon,0.5434196,0.00271947,1,0.003384168
1,6,406700,6001406700,C,C25,17,17,36084,,,6723,Oakland,CA,2019,MultiPolygon,1.266125372,0.000966571,1,0.001882517
1,6,408500,6001408500,B,B36,17,17,36084,,,6732,Oakland,CA,2019,Polygon,0.10852644,0.135665981,1,0.04586875
1,6,432100,6001432100,C,C31,17,17,36084,,,6737,Oakland,CA,2019,Polygon,0.045904034,1,1,0.110357006
1,6,408400,6001408400,C,C30,17,17,36084,,,6738,Oakland,CA,2019,Polygon,0.603061365,7.49E-05,1,0.000215645
1,6,432800,6001432800,C,C33,17,17,36084,,,6743,Oakland,CA,2019,Polygon,0.466062153,0.000402778,1,0.000132782
1,6,409800,6001409800,B,B38,17,17,36084,,,6745,Oakland,CA,2019,Polygon,0.893183911,0.188072906,2,0.243056947
1,6,408700,6001408700,C,C26,17,17,36084,,,6747,Oakland,CA,2019,Polygon,0.421445638,0.368498178,1,0.355638877
1,6,410300,6001410300,D,D18,17,17,36084,,,6751,Oakland,CA,2019,Polygon,2.577251588,0.013498013,1,0.155794792
1,6,409700,6001409700,D,D18,17,17,36084,,,6751,Oakland,CA,2019,Polygon,2.577251588,0.002921194,1,0.024034389
1,6,407300,6001407300,B,B46,17,17,36084,,,6758,Oakland,CA,2019,Polygon,0.101063413,0.031845903,1,0.00319382
1,6,420400,6001420400,C,C1,17,17,36084,,,6773,Oakland,CA,2019,Polygon,0.38495568,0.003675167,1,0.001336703
1,6,400300,6001400300,C,C9,17,17,36084,,,6764,Oakland,CA,2019,MultiPolygon,0.468681993,0.064052506,1,0.070343132
1,6,400600,6001400600,B,B10,17,17,36084,,,6766,Oakland,CA,2019,Polygon,0.039108476,0.865036817,1,0.294170123
1,6,421900,6001421900,C,C1,17,17,36084,,,6773,Oakland,CA,2019,MultiPolygon,0.38495568,0.019952139,1,0.023218391
1,6,422900,6001422900,D,D2,17,17,36084,,,6774,Oakland,CA,2019,MultiPolygon,0.743028476,0.000494452,1,0.001748251
