Countyfp,Blkgrpce,Funcstat,Geoid,Latitude,Longitude,Mtfcc,Namelsad,Statefp,Tractce,Aland,Awater,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
1,3,S,60014072003,37.7810475,-122.2207426,G5030,Block Group 3,6,407200,154734,0,37.781189,-122.220502,1,rooftop,3440,E 18th St,,,Oakland,CA,Alameda County,94601,US,Alameda
1,1,S,60014036001,37.813905,-122.2514033,G5030,Block Group 1,6,403600,146321,0,37.813716,-122.251725,1,rooftop,327,Macarthur Blvd,,,Oakland,CA,Alameda County,94610,US,Alameda
1,2,S,60014036002,37.8143295,-122.2541744,G5030,Block Group 2,6,403600,104064,0,37.814089,-122.253995,1,rooftop,382,Jayne Ave,,,Oakland,CA,Alameda County,94610,US,Alameda
1,1,S,60014038001,37.8157941,-122.2363634,G5030,Block Group 1,6,403800,169922,0,37.815633,-122.236375,1,rooftop,4014,Lakeshore Ave,,,Oakland,CA,Alameda County,94610,US,Alameda
1,2,S,60014038002,37.8137422,-122.2418254,G5030,Block Group 2,6,403800,110445,0,37.81378,-122.241863,1,rooftop,536,Prince St,,,Oakland,CA,Alameda County,94610,US,Alameda
1,3,S,60014038003,37.8117793,-122.2457459,G5030,Block Group 3,6,403800,137664,0,37.81186,-122.245472,1,rooftop,724,Warfield Ave,,,Oakland,CA,Alameda County,94610,US,Alameda
1,1,S,60014072001,37.7747982,-122.2153448,G5030,Block Group 1,6,407200,187460,0,37.774666,-122.215163,1,rooftop,1610,41st Ave,,,Oakland,CA,Alameda County,94601,US,Alameda
1,2,S,60014072002,37.7772385,-122.2179758,G5030,Block Group 2,6,407200,153168,0,37.777101,-122.217657,1,rooftop,1728,38th Ave,,,Oakland,CA,Alameda County,94601,US,Alameda
1,4,S,60014072004,37.778416,-122.222523,G5030,Block Group 4,6,407200,219709,0,37.778539,-122.222135,1,rooftop,1530,34th Ave,,,Oakland,CA,Alameda County,94601,US,Alameda
1,1,S,60014073001,37.7635253,-122.2056091,G5030,Block Group 1,6,407300,601340,0,37.763509,-122.206241,1,rooftop,1127,57th Ave,,,Oakland,CA,Alameda County,94621,US,Alameda
1,2,S,60014073002,37.7591937,-122.2107741,G5030,Block Group 2,6,407300,1769577,209253,37.759146,-122.210838,1,rooftop,555,Julie Way,,,Oakland,CA,Alameda County,94621,US,Alameda
1,1,S,60014074001,37.7701192,-122.2034528,G5030,Block Group 1,6,407400,231212,0,37.770054,-122.203583,1,rooftop,5407,Wadean Pl,,,Oakland,CA,Alameda County,94601,US,Alameda
1,2,S,60014074002,37.7710927,-122.2076849,G5030,Block Group 2,6,407400,151486,0,37.771152,-122.207873,1,rooftop,1531,50th Ave,,,Oakland,CA,Alameda County,94601,US,Alameda
1,1,S,60014211001,37.9010258,-122.2644524,G5030,Block Group 1,6,421100,311737,0,37.900929,-122.264578,1,rooftop,632,Woodmont Ave,,,Berkeley,CA,Alameda County,94708,US,Berkeley
1,2,S,60014211002,37.8982901,-122.2674436,G5030,Block Group 2,6,421100,433773,0,37.898315,-122.267432,1,rooftop,708,Euclid Ave,,,Berkeley,CA,Alameda County,94708,US,Berkeley
1,1,S,60014212001,37.9020947,-122.2727096,G5030,Block Group 1,6,421200,255412,1509,37.902039,-122.272722,1,rooftop,437,Michigan Ave,,,Berkeley,CA,Alameda County,94707,US,Alameda
