Countyfp,Blkgrpce,Funcstat,Geoid,Latitude,Longitude,Mtfcc,Namelsad,Statefp,Tractce,Aland,Awater,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
1,3,S,60014423023,37.5353976,-121.9592128,G5030,Block Group 3,6,442302,346115,0,37.535269,-121.959143,1,rooftop,40875,Lincoln St,,,Fremont,CA,Alameda County,94538,US,Alameda
1,2,S,60014420002,37.5477258,-121.9291691,G5030,Block Group 2,6,442000,1224447,0,37.546818,-121.930991,0.99,rooftop,121,Mission Cielo Ave,,,Fremont,CA,Alameda County,94539,US,Alameda
1,2,S,60014423022,37.5334595,-121.9649732,G5030,Block Group 2,6,442302,220566,0,37.532909,-121.965265,1,rooftop,4200,Bay St,,,Fremont,CA,Alameda County,94538,US,Alameda
1,1,S,60014403351,37.5937898,-122.0108651,G5030,Block Group 1,6,440335,1130399,0,37.593985,-122.010449,1,rooftop,34344,Torrey Pine Ln,,,Union City,CA,Alameda County,94587,US,Alameda
1,2,S,60014423012,37.5299695,-121.962444,G5030,Block Group 2,6,442301,385814,0,37.529639,-121.962589,1,rooftop,4290,Laurel St,,,Fremont,CA,Alameda County,94538,US,Alameda
1,3,S,60014072003,37.7810475,-122.2207426,G5030,Block Group 3,6,407200,154734,0,37.781189,-122.220502,1,rooftop,3440,E 18th St,,,Oakland,CA,Alameda County,94601,US,Alameda
1,1,S,60014036001,37.813905,-122.2514033,G5030,Block Group 1,6,403600,146321,0,37.813716,-122.251725,1,rooftop,327,Macarthur Blvd,,,Oakland,CA,Alameda County,94610,US,Alameda
1,2,S,60014036002,37.8143295,-122.2541744,G5030,Block Group 2,6,403600,104064,0,37.814089,-122.253995,1,rooftop,382,Jayne Ave,,,Oakland,CA,Alameda County,94610,US,Alameda
1,1,S,60014038001,37.8157941,-122.2363634,G5030,Block Group 1,6,403800,169922,0,37.815633,-122.236375,1,rooftop,4014,Lakeshore Ave,,,Oakland,CA,Alameda County,94610,US,Alameda
1,2,S,60014038002,37.8137422,-122.2418254,G5030,Block Group 2,6,403800,110445,0,37.81378,-122.241863,1,rooftop,536,Prince St,,,Oakland,CA,Alameda County,94610,US,Alameda
1,3,S,60014038003,37.8117793,-122.2457459,G5030,Block Group 3,6,403800,137664,0,37.81186,-122.245472,1,rooftop,724,Warfield Ave,,,Oakland,CA,Alameda County,94610,US,Alameda
1,1,S,60014072001,37.7747982,-122.2153448,G5030,Block Group 1,6,407200,187460,0,37.774666,-122.215163,1,rooftop,1610,41st Ave,,,Oakland,CA,Alameda County,94601,US,Alameda
1,2,S,60014072002,37.7772385,-122.2179758,G5030,Block Group 2,6,407200,153168,0,37.777101,-122.217657,1,rooftop,1728,38th Ave,,,Oakland,CA,Alameda County,94601,US,Alameda
1,3,S,60014381003,37.6177473,-122.0381983,G5030,Block Group 3,6,438100,209940,0,37.617732,-122.03828,1,rooftop,31119,Brae Burn Ave,,,Hayward,CA,Alameda County,94544,US,Alameda
1,4,S,60014072004,37.778416,-122.222523,G5030,Block Group 4,6,407200,219709,0,37.778539,-122.222135,1,rooftop,1530,34th Ave,,,Oakland,CA,Alameda County,94601,US,Alameda
1,1,S,60014073001,37.7635253,-122.2056091,G5030,Block Group 1,6,407300,601340,0,37.763509,-122.206241,1,rooftop,1127,57th Ave,,,Oakland,CA,Alameda County,94621,US,Alameda
1,2,S,60014073002,37.7591937,-122.2107741,G5030,Block Group 2,6,407300,1769577,209253,37.759146,-122.210838,1,rooftop,555,Julie Way,,,Oakland,CA,Alameda County,94621,US,Alameda
1,1,S,60014074001,37.7701192,-122.2034528,G5030,Block Group 1,6,407400,231212,0,37.770054,-122.203583,1,rooftop,5407,Wadean Pl,,,Oakland,CA,Alameda County,94601,US,Alameda
1,2,S,60014074002,37.7710927,-122.2076849,G5030,Block Group 2,6,407400,151486,0,37.771152,-122.207873,1,rooftop,1531,50th Ave,,,Oakland,CA,Alameda County,94601,US,Alameda
1,1,S,60014211001,37.9010258,-122.2644524,G5030,Block Group 1,6,421100,311737,0,37.900929,-122.264578,1,rooftop,632,Woodmont Ave,,,Berkeley,CA,Alameda County,94708,US,Berkeley
1,2,S,60014211002,37.8982901,-122.2674436,G5030,Block Group 2,6,421100,433773,0,37.898315,-122.267432,1,rooftop,708,Euclid Ave,,,Berkeley,CA,Alameda County,94708,US,Berkeley
1,1,S,60014212001,37.9020947,-122.2727096,G5030,Block Group 1,6,421200,255412,1509,37.902039,-122.272722,1,rooftop,437,Michigan Ave,,,Berkeley,CA,Alameda County,94707,US,Alameda
1,1,S,60014364011,37.677014,-122.0563761,G5030,Block Group 1,6,436401,605656,0,37.677073,-122.056553,1,rooftop,2501,Live Oak Te,,,Hayward,CA,Alameda County,94541,US,Alameda
1,1,S,60014308001,37.702615,-122.0702913,G5030,Block Group 1,6,430800,261285,0,37.702616,-122.070278,1,rooftop,19658,Salem Rd,,,Castro Valley,CA,Alameda County,94546,US,Alameda
1,2,S,60014093002,37.7374928,-122.1692389,G5030,Block Group 2,6,409300,195169,0,37.737478,-122.169176,1,rooftop,1255,106th Ave,,,Oakland,CA,Alameda County,94603,US,Alameda
1,3,S,60014215003,37.8888342,-122.2641201,G5030,Block Group 3,6,421500,480972,3635,37.888823,-122.263985,1,rooftop,1107,High Ct,,,Berkeley,CA,Alameda County,94708,US,Berkeley
1,1,S,60014044001,37.8492052,-122.2191142,G5030,Block Group 1,6,404400,2203340,0,37.846772,-122.217859,0.96,nearest_street,6230,Fairlane Dr,,,Oakland,CA,Alameda County,94611,US,TIGER/Line® dataset from the US Census Bureau
1,2,S,60014034002,37.8024095,-122.2651075,G5030,Block Group 2,6,403400,99215,0,37.802359,-122.265234,1,rooftop,210,14th St,,,Oakland,CA,Alameda County,94612,US,Alameda
1,2,S,60014076002,37.7794344,-122.2030542,G5030,Block Group 2,6,407600,187231,0,37.779391,-122.202983,1,rooftop,4716,Fairfax Ave,,,Oakland,CA,Alameda County,94601,US,Alameda
1,2,S,60014055002,37.7973426,-122.2423227,G5030,Block Group 2,6,405500,96237,0,37.797131,-122.2423,1,rooftop,2146,10th Ave,,,Oakland,CA,Alameda County,94606,US,Alameda
1,3,S,60014085003,37.7574919,-122.1787924,G5030,Block Group 3,6,408500,124030,0,37.75736,-122.178665,1,rooftop,1487,81st Ave,,,Oakland,CA,Alameda County,94621,US,Alameda
1,2,S,60014231002,37.866058,-122.2865627,G5030,Block Group 2,6,423100,157595,0,37.866093,-122.286458,1,rooftop,2223,Bonar St,,,Berkeley,CA,Alameda County,94702,US,Berkeley
1,3,S,60014012003,37.8257833,-122.259788,G5030,Block Group 3,6,401200,189381,0,37.825821,-122.259891,1,rooftop,3764,Shafter Ave,,,Oakland,CA,Alameda County,94609,US,Alameda
1,3,S,60014513003,37.6834886,-121.8177326,G5030,Block Group 3,6,451300,9199660,744296,37.68956,-121.820067,0.93,nearest_street,338,W Jack London Blvd,,,Livermore,CA,Alameda County,94550,US,TIGER/Line® dataset from the US Census Bureau
1,1,S,60014326001,37.7235973,-122.1604651,G5030,Block Group 1,6,432600,578031,0,37.723792,-122.160566,1,rooftop,517,Davis St,,,San Leandro,CA,Alameda County,94577,US,Alameda
1,2,S,60014326002,37.7270711,-122.1530766,G5030,Block Group 2,6,432600,208634,0,37.727016,-122.152986,1,rooftop,340,Callan Ave,,,San Leandro,CA,Alameda County,94577,US,Alameda
1,4,S,60014326004,37.7220752,-122.1484425,G5030,Block Group 4,6,432600,201695,0,37.72208,-122.148517,1,rooftop,412,Elsie Ave,,,San Leandro,CA,Alameda County,94577,US,Alameda
1,1,S,60014372001,37.6491637,-122.1147599,G5030,Block Group 1,6,437200,853150,0,37.649222,-122.114695,1,rooftop,1150,W Winton Ave,,,Hayward,CA,Alameda County,94545,US,City of Hayward and Fairview. Licensed for Public Use
1,2,S,60014372002,37.6425852,-122.1084143,G5030,Block Group 2,6,437200,694779,0,37.642379,-122.107012,0.99,rooftop,1895,Depot Rd,,,Hayward,CA,Alameda County,94545,US,Alameda
