STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,holc_id,holc_grade,id,polygon_id,sheets,name,municipali,holc_area,year,msamd,state_code,county_cod,census_tra,geoid_2,tract_prop,holc_prop,map_id,st_name,state
"06","001","407200","3","060014072003",Block Group 3,G5030,S,"154734","0","+37.7810475","-122.2207426",C22,C,"17","6722","1",,,0.546618073199000,"2019","36084","06","001","406500","06001406500",0.834557241270526,0.439196657138043,17.000000000000000,Oakland,CA
"06","001","407200","3","060014072003",Block Group 3,G5030,S,"154734","0","+37.7810475","-122.2207426",D14,D,"17","6748","1",,,0.121258339391000,"2019","36084","06","001","407200","06001407200",0.438440177055766,0.998272480537594,17.000000000000000,Oakland,CA
"06","001","407200","3","060014072003",Block Group 3,G5030,S,"154734","0","+37.7810475","-122.2207426",C22,C,"17","6722","1",,,0.546618073199000,"2019","36084","06","001","407200","06001407200",0.001745908040702,0.000881835846972,17.000000000000000,Oakland,CA
"06","001","407200","3","060014072003",Block Group 3,G5030,S,"154734","0","+37.7810475","-122.2207426",C20,C,"17","6720","1",,,0.218236834976000,"2019","36084","06","001","406500","06001406500",0.003027998814282,0.003991301444619,17.000000000000000,Oakland,CA
"06","001","407200","3","060014072003",Block Group 3,G5030,S,"154734","0","+37.7810475","-122.2207426",C22,C,"17","6722","1",,,0.546618073199000,"2019","36084","06","001","407101","06001407101",0.062833335386776,0.016458524639614,17.000000000000000,Oakland,CA
"06","001","407200","3","060014072003",Block Group 3,G5030,S,"154734","0","+37.7810475","-122.2207426",C20,C,"17","6720","1",,,0.218236834976000,"2019","36084","06","001","407200","06001407200",0.281199592494192,0.355743524389566,17.000000000000000,Oakland,CA
"06","001","403600","1","060014036001",Block Group 1,G5030,S,"146321","0","+37.8139050","-122.2514033",C14,C,"17","6770","1",,,0.159715226781000,"2019","36084","06","001","404000","06001404000",0.019200692953911,0.017227560010826,17.000000000000000,Oakland,CA
"06","001","403600","1","060014036001",Block Group 1,G5030,S,"146321","0","+37.8139050","-122.2514033",B18,B,"17","6704","1",,,0.167192078813000,"2019","36084","06","001","403600","06001403600",0.804787853156045,0.725006745801219,17.000000000000000,Oakland,CA
"06","001","403600","1","060014036001",Block Group 1,G5030,S,"146321","0","+37.8139050","-122.2514033",C14,C,"17","6770","1",,,0.159715226781000,"2019","36084","06","001","403501","06001403501",0.326479633367426,0.526181952075820,17.000000000000000,Oakland,CA
"06","001","403600","1","060014036001",Block Group 1,G5030,S,"146321","0","+37.8139050","-122.2514033",C14,C,"17","6770","1",,,0.159715226781000,"2019","36084","06","001","403502","06001403502",0.781358453091729,0.344555766780345,17.000000000000000,Oakland,CA
"06","001","403600","1","060014036001",Block Group 1,G5030,S,"146321","0","+37.8139050","-122.2514033",C15,C,"17","6712","1",,,0.274434295112000,"2019","36084","06","001","403600","06001403600",0.105676337966192,0.057998358848136,17.000000000000000,Oakland,CA
"06","001","403600","1","060014036001",Block Group 1,G5030,S,"146321","0","+37.8139050","-122.2514033",B18,B,"17","6704","1",,,0.167192078813000,"2019","36084","06","001","403900","06001403900",0.182431027288103,0.208676729055861,17.000000000000000,Oakland,CA
"06","001","403600","1","060014036001",Block Group 1,G5030,S,"146321","0","+37.8139050","-122.2514033",C14,C,"17","6770","1",,,0.159715226781000,"2019","36084","06","001","403900","06001403900",0.055964748963557,0.067013029562946,17.000000000000000,Oakland,CA
"06","001","403600","1","060014036001",Block Group 1,G5030,S,"146321","0","+37.8139050","-122.2514033",B18,B,"17","6704","1",,,0.167192078813000,"2019","36084","06","001","403702","06001403702",0.019794741991458,0.009179687517100,17.000000000000000,Oakland,CA
"06","001","403600","1","060014036001",Block Group 1,G5030,S,"146321","0","+37.8139050","-122.2514033",C14,C,"17","6770","1",,,0.159715226781000,"2019","36084","06","001","403600","06001403600",0.047236899551538,0.044546275050388,17.000000000000000,Oakland,CA
